amna,1,12344321
aman,2,12345678
amna5,2,12345678
saba,1,11111111
a,2,11223344
asea,1,12345678
ws,1,12344321
r,2,12345678
we,2,12345678
wq,3,12344321
re,3,12344321
pl,2,23232323
aml,2,12345678
Anza Tamveel,3,12345678
Anza,3,12345678
Anza                , Tamveel,
An,za,
e,2,12344321
d,1,12344321
mn,2,12344321
b,3,12344321
ab,2,12344321
ba,3,12345678
w,1,12344321
q,2,12341234
amna,23456789876,4444444444444,lahore,a@gmail.com,0,8ma,12345678909,1234567890987,lahore,aaa@gmail.com,264,z,1,12344321
